wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0% 0/276 [00:00<?, ?it/s]Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 0.8143, 'grad_norm': 0.5116828083992004, 'learning_rate': 8.342726358036473e-05, 'epoch': 0.59}
{'loss': 0.6854, 'grad_norm': 0.5545706152915955, 'learning_rate': 8.298578593552737e-05, 'epoch': 0.6}
{'loss': 0.6487, 'grad_norm': 0.49784374237060547, 'learning_rate': 8.253970722683968e-05, 'epoch': 0.61}
{'loss': 0.7579, 'grad_norm': 0.524071216583252, 'learning_rate': 8.208908967615159e-05, 'epoch': 0.62}
{'loss': 0.6394, 'grad_norm': 0.677503228187561, 'learning_rate': 8.163399613841902e-05, 'epoch': 0.62}
{'loss': 0.735, 'grad_norm': 0.5261929631233215, 'learning_rate': 8.117449009293668e-05, 'epoch': 0.63}
{'loss': 0.796, 'grad_norm': 0.5239748358726501, 'learning_rate': 8.07106356344834e-05, 'epoch': 0.64}
{'loss': 0.7217, 'grad_norm': 0.5174734592437744, 'learning_rate': 8.024249746438188e-05, 'epoch': 0.64}
{'loss': 0.6865, 'grad_norm': 0.5181716680526733, 'learning_rate': 7.977014088147374e-05, 'epoch': 0.65}
{'loss': 0.7091, 'grad_norm': 0.4678060710430145, 'learning_rate': 7.929363177301124e-05, 'epoch': 0.66}
{'loss': 0.5811, 'grad_norm': 0.4921020567417145, 'learning_rate': 7.881303660546683e-05, 'epoch': 0.67}
{'loss': 0.7266, 'grad_norm': 0.5081795454025269, 'learning_rate': 7.832842241526212e-05, 'epoch': 0.67}
{'loss': 0.7137, 'grad_norm': 0.46896427869796753, 'learning_rate': 7.78398567994171e-05, 'epoch': 0.68}
{'loss': 0.6178, 'grad_norm': 0.4729156494140625, 'learning_rate': 7.734740790612136e-05, 'epoch': 0.69}
{'loss': 0.6851, 'grad_norm': 0.5440782904624939, 'learning_rate': 7.68511444252283e-05, 'epoch': 0.7}
{'loss': 0.6443, 'grad_norm': 0.49950581789016724, 'learning_rate': 7.635113557867395e-05, 'epoch': 0.7}
{'loss': 0.7653, 'grad_norm': 0.550304114818573, 'learning_rate': 7.584745111082127e-05, 'epoch': 0.71}
{'loss': 0.6926, 'grad_norm': 0.5465799570083618, 'learning_rate': 7.534016127873201e-05, 'epoch': 0.72}
{'loss': 0.6543, 'grad_norm': 0.5265556573867798, 'learning_rate': 7.482933684236654e-05, 'epoch': 0.72}
{'loss': 0.6974, 'grad_norm': 0.5343003273010254, 'learning_rate': 7.431504905471408e-05, 'epoch': 0.73}
{'loss': 0.773, 'grad_norm': 0.5321977138519287, 'learning_rate': 7.379736965185368e-05, 'epoch': 0.74}
{'loss': 0.5608, 'grad_norm': 0.5871621370315552, 'learning_rate': 7.327637084294817e-05, 'epoch': 0.75}
{'loss': 0.6698, 'grad_norm': 0.5569663643836975, 'learning_rate': 7.275212530017183e-05, 'epoch': 0.75}
{'loss': 0.5876, 'grad_norm': 0.5436547994613647, 'learning_rate': 7.22247061485738e-05, 'epoch': 0.76}
{'loss': 0.7077, 'grad_norm': 0.5540599822998047, 'learning_rate': 7.169418695587791e-05, 'epoch': 0.77}
{'loss': 0.6844, 'grad_norm': 0.5480167865753174, 'learning_rate': 7.116064172222125e-05, 'epoch': 0.78}
{'loss': 0.6858, 'grad_norm': 0.536896288394928, 'learning_rate': 7.062414486983197e-05, 'epoch': 0.78}
{'loss': 0.7403, 'grad_norm': 0.5859177112579346, 'learning_rate': 7.008477123264848e-05, 'epoch': 0.79}
{'loss': 0.6985, 'grad_norm': 0.5237783193588257, 'learning_rate': 6.954259604588114e-05, 'epoch': 0.8}
{'loss': 0.6225, 'grad_norm': 0.502984344959259, 'learning_rate': 6.8997694935518e-05, 'epoch': 0.8}
